Label,sensor0,sensor1,sensor2,sensor3,sensor4,sensor5,sensor6,sensor7,sensor8,sensor9,sensor10,sensor11,sensor12,sensor13,sensor14,sensor15,sensor16,sensor17,sensor18,sensor19,sensor20,sensor21,sensor22,sensor23,sensor24,sensor25,sensor26,sensor27
good,0,11,4,72,0,0,14,28,187,0,0,0,0,117,0,0,0,0,0,0,0,92,95,79,5,1,0,0
good,0,11,6,82,0,0,13,28,188,0,0,0,0,91,0,0,0,0,0,0,0,105,102,108,11,7,0,0
good,0,12,5,86,0,0,13,29,195,0,0,0,0,104,0,0,0,0,0,0,0,105,104,114,2,1,0,0
good,0,12,4,90,0,0,15,29,192,0,0,0,0,106,0,0,0,0,0,0,0,105,105,117,2,0,0,0
good,0,14,6,91,0,0,13,30,192,0,0,0,0,106,0,0,0,0,0,0,0,104,104,108,5,1,0,0
good,0,14,9,91,0,0,15,30,189,0,0,0,0,100,0,0,0,0,0,0,0,104,104,113,5,6,0,0
good,0,12,4,88,0,0,13,30,193,0,0,0,0,115,0,0,0,0,0,0,0,105,105,119,12,5,0,0
good,0,11,5,90,0,0,14,30,193,0,0,0,0,117,0,0,0,0,0,0,0,105,106,120,13,4,0,0
good,0,11,4,90,0,0,14,30,193,0,0,0,0,117,0,0,0,0,0,0,0,106,107,121,12,7,0,0
good,0,11,5,90,0,0,14,29,194,0,0,0,0,120,0,0,0,0,0,0,0,105,107,125,13,7,0,0
good,0,12,6,90,0,0,16,29,194,0,0,0,0,120,0,0,0,0,0,0,0,107,108,126,12,7,0,0
good,0,12,5,89,0,0,16,29,195,0,0,0,0,121,0,0,0,0,0,0,0,107,108,127,12,7,0,0
good,0,11,5,89,0,0,15,29,196,0,0,0,0,122,0,0,0,0,0,0,0,108,108,125,0,7,0,0
good,0,11,4,89,0,0,16,30,197,0,0,0,0,123,0,0,0,0,0,0,0,108,109,126,0,8,0,0
good,0,11,5,88,0,0,16,30,197,0,0,0,0,125,0,0,0,0,0,0,0,109,109,126,12,7,0,0
good,0,12,7,90,0,0,17,28,197,0,0,0,0,118,0,0,0,0,0,0,0,107,107,122,12,8,0,0
good,0,12,5,90,0,0,17,30,197,0,0,0,0,118,0,0,0,0,0,0,0,108,107,123,12,8,0,0
good,0,12,5,90,0,0,16,30,197,0,0,0,0,117,0,0,0,0,0,0,0,107,107,121,12,7,0,0
good,0,12,5,90,0,0,16,28,197,0,0,0,0,118,0,0,0,0,0,0,0,108,107,123,11,7,0,0
good,0,13,5,91,0,0,17,29,198,0,0,0,0,116,0,0,0,0,0,0,0,108,108,124,12,7,0,0
good,0,13,6,91,0,0,17,28,198,0,0,0,0,117,0,0,0,0,0,0,0,110,107,124,15,8,0,0
good,0,13,5,92,0,0,18,30,199,0,0,0,0,116,0,0,0,0,0,0,0,108,108,124,12,9,0,0
good,0,13,5,91,0,0,18,30,199,0,0,0,0,117,0,0,0,0,0,0,0,108,108,125,12,7,0,0
good,0,11,6,92,0,0,18,30,199,0,0,0,0,116,0,0,0,0,0,0,0,107,108,123,11,9,0,0
good,0,13,7,92,0,0,18,29,199,0,0,0,0,115,0,0,0,0,0,0,0,108,107,125,11,9,1,0
good,0,13,7,92,0,0,17,30,199,0,0,0,0,117,0,0,0,0,0,0,0,108,108,125,11,9,1,0
good,0,10,6,90,0,0,16,29,198,0,0,0,0,122,0,0,0,0,0,0,0,108,109,127,11,9,1,0
good,0,12,6,89,0,0,16,29,198,0,0,0,0,123,0,0,0,0,0,0,0,109,109,126,11,9,0,0
good,0,12,5,90,0,0,17,30,198,0,0,0,0,123,0,0,0,0,0,0,0,108,108,127,11,9,1,0
good,0,11,7,95,0,0,14,28,198,0,0,0,0,75,0,0,0,0,0,0,0,107,107,124,11,9,1,0
good,0,12,7,95,0,0,15,29,198,0,0,0,0,77,0,0,0,0,0,0,0,107,106,125,12,9,1,0
good,0,12,7,95,0,0,15,28,198,0,0,0,0,79,0,0,0,0,0,0,0,108,106,126,12,10,1,0
good,0,12,7,94,0,0,15,28,199,0,0,0,0,81,0,0,0,0,0,0,0,108,107,127,11,10,1,0
good,0,11,5,96,0,0,14,27,199,0,0,0,0,87,0,0,0,0,0,0,0,108,107,129,12,10,1,0
good,0,11,6,93,0,0,15,26,199,0,0,0,0,89,0,0,0,0,0,0,0,109,108,137,12,11,1,0
good,0,10,6,93,0,0,16,30,198,0,0,0,0,96,0,0,0,0,0,0,0,108,107,128,13,8,0,0
good,0,11,6,92,0,0,17,27,199,0,0,0,0,101,0,0,0,0,0,0,0,108,107,127,11,10,1,0
good,0,11,5,91,0,0,17,27,200,0,0,0,0,104,0,0,0,0,0,0,0,109,108,131,0,10,2,0
good,0,12,5,91,0,0,16,28,200,0,0,0,0,106,0,0,0,0,0,0,0,109,108,128,11,10,1,0
good,0,12,6,92,0,0,17,27,200,0,0,0,0,107,0,0,0,0,0,0,0,109,108,132,12,10,1,0
good,0,12,4,94,0,0,18,27,199,0,0,0,0,100,0,0,0,0,0,0,0,109,108,132,11,12,2,0
good,0,12,6,93,0,0,17,28,199,0,0,0,0,101,0,0,0,0,0,0,0,109,108,133,11,10,1,0
good,0,12,7,93,0,0,17,27,200,0,0,0,0,102,0,0,0,0,0,0,0,110,109,134,12,10,2,0
good,0,13,8,93,0,0,17,26,200,0,0,0,0,105,0,0,0,0,0,0,0,110,109,133,11,11,2,0
good,0,12,8,93,0,0,17,26,201,0,0,0,0,106,0,0,0,0,0,0,0,110,109,134,11,11,1,0
good,0,12,7,93,0,0,17,27,201,0,0,0,0,106,0,0,0,0,0,0,0,110,109,134,11,10,2,0
good,0,14,7,93,0,0,17,27,201,0,0,0,0,107,0,0,0,0,0,0,0,109,109,133,12,10,2,1
good,0,12,8,93,0,0,17,27,201,0,0,0,0,107,0,0,0,0,0,0,0,110,109,133,12,11,1,0
good,0,12,6,94,0,0,17,27,200,0,0,0,0,105,0,0,0,0,0,0,0,110,109,137,5,3,0,0
good,0,12,6,95,0,0,17,27,199,0,0,0,0,98,0,0,0,0,0,0,0,110,108,136,5,3,0,0
good,0,12,7,96,0,0,17,27,202,0,0,0,0,102,0,0,0,0,0,0,0,109,108,129,4,3,0,0
good,0,13,7,97,0,0,17,27,202,0,0,0,0,101,0,0,0,0,0,0,0,109,108,130,4,3,2,0
good,0,12,6,96,0,0,17,27,202,0,0,0,0,102,0,0,0,0,0,0,0,109,108,129,11,11,2,0
good,0,12,8,96,0,0,17,27,203,0,0,0,0,102,0,0,0,0,0,0,0,109,108,131,12,11,2,0
good,0,12,8,96,0,0,18,27,203,0,0,0,0,106,0,0,0,0,0,0,0,109,108,130,11,11,2,0
good,0,12,8,95,0,0,18,28,203,0,0,0,0,106,0,0,0,0,0,0,0,109,108,129,11,8,2,0
good,0,13,7,95,0,0,18,28,203,0,0,0,0,106,0,0,0,0,0,0,0,109,108,129,11,10,2,0
good,0,14,8,94,0,0,19,30,205,0,0,0,0,106,0,0,0,0,0,0,0,109,108,129,11,10,2,0
